"name","z","from_95_4","to_95_4",
"",142.17,-4900,-4327,
"i706",141,-4850,-4286,
"i701",140,-4808,-4248,
"i696",139,-4764,-4212,
"i691",138,-4721,-4176,
"i686",137,-4679,-4142,
"i681",136,-4637,-4107,
"i676",135,-4593,-4074,
"i671",134,-4549,-4040,
"i666",133,-4503,-4007,
"i661",132,-4460,-3975,
"i656",131,-4413,-3942,
"i651",130,-4367,-3908,
"i646",129,-4322,-3880,
"i641",128,-4275,-3849,
"i636",127,-4227,-3822,
"i631",126,-4177,-3788,
"i626",125,-4128,-3761,
"RL4-7",124.17,-4088,-3733,
"i616",123,-4046,-3700,
"i611",122,-4012,-3669,
"i606",121,-3978,-3638,
"i601",120,-3944,-3609,
"i596",119,-3910,-3580,
"i591",118,-3872,-3551,
"i586",117,-3835,-3523,
"i581",116,-3797,-3496,
"i576",115,-3756,-3470,
"i571",114,-3717,-3446,
"i566",113,-3676,-3422,
"i561",112,-3630,-3400,
"i556",111,-3583,-3379,
"RL4-6",110.02,-3531,-3358,
"i546",109,-3501,-3320,
"i541",108,-3465,-3284,
"RL4-5",107,-3424,-3254,
"i531",106,-3387,-2999,
"i526",105,-3304,-2868,
"i521",104,-3181,-2782,
"RL4-13",102.95,-2923,-2738,
"i506",101,-2846,-2495,
"i501",100,-2786,-2412,
"i496",99,-2711,-2343,
"i491",98,-2622,-2288,
"i486",97,-2514,-2245,
"RL4-12",96.25,-2387,-2230,
"i476",95,-2362,-2156,
"i471",94,-2338,-2103,
"i466",93,-2311,-2056,
"i461",92,-2283,-2013,
"i456",91,-2252,-1972,
"i451",90,-2220,-1931,
"i446",89,-2185,-1894,
"i441",88,-2149,-1859,
"i436",87,-2110,-1825,
"i431",86,-2070,-1793,
"i421",84,-1983,-1737,
"i416",83,-1934,-1713,
"i411",82,-1878,-1691,
"i406",81,-1815,-1672,
"RL4-4",80.57,-1781,-1670,
"i396",79,-1762,-1642,
"i391",78,-1750,-1625,
"i386",77,-1736,-1610,
"i381",76,-1722,-1595,
"i376",75,-1708,-1580,
"RL4-11",74.77,-1705,-1576,
"i366",73,-1680,-1515,
"i361",72,-1663,-1484,
"i356",71,-1645,-1455,
"i351",70,-1627,-1427,
"i346",69,-1607,-1400,
"i341",68,-1588,-1374,
"i336",67,-1566,-1349,
"i331",66,-1545,-1324,
"i326",65,-1524,-1300,
"i321",64,-1501,-1276,
"i316",63,-1477,-1254,
"i311",62,-1454,-1231,
"i306",61,-1428,-1210,
"i301",60,-1400,-1190,
"i296",59,-1375,-1170,
"i291",58,-1347,-1150,
"i286",57,-1319,-1131,
"i281",56,-1287,-1115,
"i276",55,-1255,-1098,
"RL4-10",54.5,-1237,-1090,
"i266",53,-1213,-1014,
"i261",52,-1193,-970,
"i256",51,-1170,-928,
"i251",50,-1149,-888,
"i246",49,-1125,-850,
"i241",48,-1099,-814,
"i236",47,-1073,-778,
"i231",46,-1046,-743,
"i226",45,-1018,-709,
"i221",44,-990,-675,
"i216",43,-960,-644,
"i211",42,-930,-613,
"i206",41,-900,-583,
"i201",40,-868,-553,
"i196",39,-835,-525,
"i191",38,-805,-497,
"i186",37,-769,-469,
"i181",36,-735,-443,
"i176",35,-700,-419,
"i171",34,-661,-394,
"i166",33,-625,-371,
"i161",32,-584,-349,
"i156",31,-544,-330,
"i151",30,-501,-310,
"i146",29,-452,-294,
"i141",28,-395,-280,
"RL4-3",27.61,-369,-279,
"i131",26,-341,-187,
"i126",25,-315,-145,
"i121",24,-280,-112,
"RL4-9",23.33,-252,-93,
"i111",22,-226,9,
"i106",21,-199,71,
"i101",20,-171,130,
"i96",19,-138,183,
"i91",18,-105,235,
"i86",17,-69,284,
"i81",16,-33,332,
"i76",15,8,377,
"i71",14,49,420,
"i66",13,93,460,
"i61",12,137,502,
"i56",11,184,539,
"i51",10,233,574,
"i46",9,283,609,
"i41",8,336,639,
"i36",7,389,668,
"i31",6,448,692,
"i26",5,514,714,
"i21",4,593,733,
"RL4-1",3.62,634,732,
