Site,Area/Chamber/Context/Culture,Context number,Laboratory number ,Radiocarbon age (BP),Error,δ13C IRMS (‰),Error,δ15N (‰),Error,C/N ratio,Calibrated date range (cal BC; 2σ),Reference,"Key contexts (783, 942) articulated",Key contexts not-articulated,"Other associated contexts (731, 982, 997, 1206) articulated","Other associated contexts (731, 982, 997, 1206) not articulated"
Xaghra,Temple Period,,OxA-3574,4260,60,-18.6,0.22,–,–,–,3020–2680,Malone et al. (2019),0,0,0,1
Xaghra,Temple Period,,OxA-3573,4170,65,-18.3,–,–,–,–,2910–2500,Malone et al. (2019),0,1,0,0
Xaghra,Temple Period,,UBA-32050,4130,33,-19.5,0.22,–,–,3.24,2880-2570,Malone et al. (2019),0,1,0,0
Xaghra,Temple Period,,OxA-27832,4077,33,-18.8,0.2,9.9,0.3,3.3,2860–2490,Malone et al. (2019),0,0,1,0
Xaghra,Temple Period,,UBA-32021,4069,33,-19.4,0.22,–,–,3.2,2860–2490,Malone et al. (2019),0,1,0,0
Xaghra,Temple Period,,UBA-32025,4066,27,-19.2,0.22,–,–,3.19,2840–2490,Malone et al. (2019),0,1,0,0
Xaghra,Temple Period,,UBA-32024,4043,27,-19.8,0.22,–,–,3.21,2830–2470,Malone et al. (2019),0,1,0,0
Xaghra,Temple Period,,OxA-33926,4040,35,-20.1,0.2,12.3,0.3,3.2,2840–2470,Malone et al. (2019),1,0,0,0
Xaghra,Temple Period,,SUERC-4389,4035,35,-19.8,0.2,–,–,–,2840-2470,Malone et al. (2019),0,0,1,0
Xaghra,Temple Period,,UBA-32016,4017,31,-19,0.22,–,–,3.2,2620–2470,Malone et al. (2019),0,1,0,0
Xaghra,Temple Period,,UBA-32017,4009,39,-19.5,0.22,–,–,3.22,2590–2460,Malone et al. (2019),0,1,0,0
Xaghra,Temple Period,,SUERC-45317,4002,45,-8.7,0.2,10.1,0.3,3.3,2630–2450,Malone et al. (2019),1,0,0,0
Xaghra,Temple Period,,OxA-27839,3990,25,-19.3,0.2,10.6,0.3,3.3,2580–2460,Malone et al. (2019),1,0,0,0
Xaghra,Temple Period,,UBA-32052,3987,27,-19.1,0.22,–,–,3.22,2580-2460,Malone et al. (2019),0,0,0,1
Xaghra,Temple Period,,UBA-32032,3983,48,-19.5,–,–,–,3.24,2620–2340,Malone et al. (2019),0,0,0,1
Xaghra,Temple Period,,UBA-32053,3970,25,-19.6,0.22,–,–,3.24,2570-2460,Malone et al. (2019),0,0,0,1
Xaghra,Temple Period,,UBA-32051,3963,32,-19.4,0.22,–,–,3.24,2570–2350,Malone et al. (2019),0,0,0,1
Xaghra,Temple Period,,UBA-32023,3955,31,-19.5,0.22,–,–,3.22,2570–2340,Malone et al. (2019),0,0,0,1
Xaghra,Temple Period,,UBA-32022,3947,32,-19.3,0.22,–,–,3.2,2570–2340,Malone et al. (2019),0,0,0,1
Xaghra,Temple Period,,OxA-27840,3945,27,-19.2,0.2,10.1,0.3,3.3,2570–2340,Malone et al. (2019),0,0,1,0
Xaghra,Temple Period,,UBA-32020,3942,28,-18.9,0.22,–,–,3.21,2570–2340,Malone et al. (2019),0,0,0,1
Xaghra,Temple Period,,UBA-32045,3926,28,-19.3,0.22,–,–,3.22,2490–2300,Malone et al. (2019),0,0,0,1
Xaghra,Temple Period,,UBA-32018,3904,30,-19.2,0.22,–,–,3.2,2480–2290,Malone et al. (2019),0,1,0,0
Xaghra,Temple Period,,UBA-32015,3903,31,-18.9,0.22,–,–,3.21,2480–2290,Malone et al. (2019),0,1,0,0
Xaghra,Temple Period,,SUERC-45312,3871,45,-18.9,0.2,10.4,0.3,3.3,2480-2200,Malone et al. (2019),0,0,1,0
Xaghra,Temple Period,,UBA-32014,3849,26,-19,0.22,–,–,3.22,2460–2200,Malone et al. (2019),0,1,0,0
Xaghra,Temple Period,,UBA-32019,3842,28,-19.3,0.22,–,–,3.22,2460–2200,Malone et al. (2019),0,1,0,0
